ticker,priority,added_at,is_processed
ARCI,1,2026-08-22 14:05:00.096481,f
PSAB,2,2026-08-22 14:05:00.096481,f
BRMS,3,2026-08-22 14:05:00.096481,f
SQMI,4,2026-08-22 14:05:00.096481,f
EMAS,5,2026-08-22 14:05:00.096481,f
MDKA,6,2026-08-24 09:30:40.494766,f
ANTM,7,2026-08-24 09:30:40.494766,f
HRTA,8,2026-08-24 09:30:40.494766,f
AMMN,9,2026-08-24 09:30:40.494766,f
AADI,10,2026-09-05 12:19:54.432409,f
AALI,11,2026-09-05 12:19:54.432409,f
ABBA,12,2026-09-05 12:19:54.432409,f
ABDA,13,2026-09-05 12:19:54.432409,f
ABMM,14,2026-09-05 12:19:54.432409,f
ACES,15,2026-09-05 12:19:54.432409,f
ACRO,16,2026-09-05 12:19:54.432409,f
ACST,17,2026-09-05 12:19:54.432409,f
ADCP,18,2026-09-05 12:19:54.432409,f
ADES,19,2026-09-05 12:19:54.432409,f
ADHI,20,2026-09-05 12:19:54.432409,f
ADMF,21,2026-09-05 12:19:54.432409,f
ADMG,22,2026-09-05 12:19:54.432409,f
ADMR,23,2026-09-05 12:19:54.432409,f
ADRO,24,2026-09-05 12:19:54.432409,f
AEGS,25,2026-09-05 12:19:54.432409,f
AGAR,26,2026-09-05 12:19:54.432409,f
AGII,27,2026-09-05 12:19:54.432409,f
AGRO,28,2026-09-05 12:19:54.432409,f
AGRS,29,2026-09-05 12:19:54.432409,f
AHAP,30,2026-09-05 12:19:54.432409,f
AIMS,31,2026-09-05 12:19:54.432409,f
AISA,32,2026-09-05 12:19:54.432409,f
AKKU,33,2026-09-05 12:19:54.432409,f
AKPI,34,2026-09-05 12:19:54.432409,f
AKRA,35,2026-09-05 12:19:54.432409,f
AKSI,36,2026-09-05 12:19:54.432409,f
ALDO,37,2026-09-05 12:19:54.432409,f
ALII,38,2026-09-05 12:19:54.432409,f
ALKA,39,2026-09-05 12:19:54.432409,f
ALMI,40,2026-09-05 12:19:54.432409,f
ALTO,41,2026-09-05 12:19:54.432409,f
AMAG,42,2026-09-05 12:19:54.432409,f
AMAN,43,2026-09-05 12:19:54.432409,f
AMAR,44,2026-09-05 12:19:54.432409,f
AMFG,45,2026-09-05 12:19:54.432409,f
AMIN,46,2026-09-05 12:19:54.432409,f
AMMS,47,2026-09-05 12:19:54.432409,f
AMOR,48,2026-09-05 12:19:54.432409,f
AMRT,49,2026-09-05 12:19:54.432409,f
ANDI,50,2026-09-05 12:19:54.432409,f
ANJT,51,2026-09-05 12:19:54.432409,f
APEX,52,2026-09-05 12:19:54.432409,f
APIC,53,2026-09-05 12:19:54.432409,f
APII,54,2026-09-05 12:19:54.432409,f
APLI,55,2026-09-05 12:19:54.432409,f
APLN,56,2026-09-05 12:19:54.432409,f
AREA,57,2026-09-05 12:19:54.432409,f
ARGO,58,2026-09-05 12:19:54.432409,f
ARII,59,2026-09-05 12:19:54.432409,f
ARKA,60,2026-09-05 12:19:54.432409,f
ARKO,61,2026-09-05 12:19:54.432409,f
ARMY,62,2026-09-05 12:19:54.432409,f
ARNA,63,2026-09-05 12:19:54.432409,f
ARTA,64,2026-09-05 12:19:54.432409,f
ARTI,65,2026-09-05 12:19:54.432409,f
ARTO,66,2026-09-05 12:19:54.432409,f
ASBI,67,2026-09-05 12:19:54.432409,f
ASDM,68,2026-09-05 12:19:54.432409,f
ASGR,69,2026-09-05 12:19:54.432409,f
ASHA,70,2026-09-05 12:19:54.432409,f
ASII,71,2026-09-05 12:19:54.432409,f
ASJT,72,2026-09-05 12:19:54.432409,f
ASLC,73,2026-09-05 12:19:54.432409,f
ASLI,74,2026-09-05 12:19:54.432409,f
ASMI,75,2026-09-05 12:19:54.432409,f
ASPI,76,2026-09-05 12:19:54.432409,f
ASPR,77,2026-09-05 12:19:54.432409,f
ASRM,78,2026-09-05 12:19:54.432409,f
ASSA,79,2026-09-05 12:19:54.432409,f
ATAP,80,2026-09-05 12:19:54.432409,f
ATIC,81,2026-09-05 12:19:54.432409,f
ATLA,82,2026-09-05 12:19:54.432409,f
AUTO,83,2026-09-05 12:19:54.432409,f
AVIA,84,2026-09-05 12:19:54.432409,f
AWAN,85,2026-09-05 12:19:54.432409,f
AXIO,86,2026-09-05 12:19:54.432409,f
AYAM,87,2026-09-05 12:19:54.432409,f
AYLS,88,2026-09-05 12:19:54.432409,f
BABP,89,2026-09-05 12:19:54.432409,f
BABY,90,2026-09-05 12:19:54.432409,f
BACA,91,2026-09-05 12:19:54.432409,f
BACH,92,2026-09-05 12:19:54.432409,f
BAIK,93,2026-09-05 12:19:54.432409,f
BAJA,94,2026-09-05 12:19:54.432409,f
BALI,95,2026-09-05 12:19:54.432409,f
BANK,96,2026-09-05 12:19:54.432409,f
BAPA,97,2026-09-05 12:19:54.432409,f
BAPI,98,2026-09-05 12:19:54.432409,f
BATA,99,2026-09-05 12:19:54.432409,f
BATR,100,2026-09-05 12:19:54.432409,f
BAUT,101,2026-09-05 12:19:54.432409,f
BAYU,102,2026-09-05 12:19:54.432409,f
BBCA,103,2026-09-05 12:19:54.432409,f
BBHI,104,2026-09-05 12:19:54.432409,f
BBKP,105,2026-09-05 12:19:54.432409,f
BBLD,106,2026-09-05 12:19:54.432409,f
BBMD,107,2026-09-05 12:19:54.432409,f
BBNI,108,2026-09-05 12:19:54.432409,f
BBRI,109,2026-09-05 12:19:54.432409,f
BBRM,110,2026-09-05 12:19:54.432409,f
BBSI,111,2026-09-05 12:19:54.432409,f
BBSS,112,2026-09-05 12:19:54.432409,f
BBTN,113,2026-09-05 12:19:54.432409,f
BBYB,114,2026-09-05 12:19:54.432409,f
BCAP,115,2026-09-05 12:19:54.432409,f
BCIC,116,2026-09-05 12:19:54.432409,f
BCIP,117,2026-09-05 12:19:54.432409,f
BDKR,118,2026-09-05 12:19:54.432409,f
BDMN,119,2026-09-05 12:19:54.432409,f
BEBS,120,2026-09-05 12:19:54.432409,f
BEEF,121,2026-09-05 12:19:54.432409,f
BEER,122,2026-09-05 12:19:54.432409,f
BEKS,123,2026-09-05 12:19:54.432409,f
BELI,124,2026-09-05 12:19:54.432409,f
BELL,125,2026-09-05 12:19:54.432409,f
BESS,126,2026-09-05 12:19:54.432409,f
BEST,127,2026-09-05 12:19:54.432409,f
BFIN,128,2026-09-05 12:19:54.432409,f
BGTG,129,2026-09-05 12:19:54.432409,f
BHAT,130,2026-09-05 12:19:54.432409,f
BHIT,131,2026-09-05 12:19:54.432409,f
BIKA,132,2026-09-05 12:19:54.432409,f
BIKE,133,2026-09-05 12:19:54.432409,f
BIMA,134,2026-09-05 12:19:54.432409,f
BINA,135,2026-09-05 12:19:54.432409,f
BINO,136,2026-09-05 12:19:54.432409,f
BIPI,137,2026-09-05 12:19:54.432409,f
BIPP,138,2026-09-05 12:19:54.432409,f
BIRD,139,2026-09-05 12:19:54.432409,f
BISI,140,2026-09-05 12:19:54.432409,f
BJBR,141,2026-09-05 12:19:54.432409,f
BJTM,142,2026-09-05 12:19:54.432409,f
BKDP,143,2026-09-05 12:19:54.432409,f
BKSL,144,2026-09-05 12:19:54.432409,f
BKSW,145,2026-09-05 12:19:54.432409,f
BLES,146,2026-09-05 12:19:54.432409,f
BLOG,147,2026-09-05 12:19:54.432409,f
BLTA,148,2026-09-05 12:19:54.432409,f
BLTZ,149,2026-09-05 12:19:54.432409,f
BLUE,150,2026-09-05 12:19:54.432409,f
BMAS,151,2026-09-05 12:19:54.432409,f
BMBL,152,2026-09-05 12:19:54.432409,f
BMHS,153,2026-09-05 12:19:54.432409,f
BMRI,154,2026-09-05 12:19:54.432409,f
BMSR,155,2026-09-05 12:19:54.432409,f
BMTR,156,2026-09-05 12:19:54.432409,f
BNBA,157,2026-09-05 12:19:54.432409,f
BNBR,158,2026-09-05 12:19:54.432409,f
BNGA,159,2026-09-05 12:19:54.432409,f
BNII,160,2026-09-05 12:19:54.432409,f
BNLI,161,2026-09-05 12:19:54.432409,f
BOAT,162,2026-09-05 12:19:54.432409,f
BOBA,163,2026-09-05 12:19:54.432409,f
BOGA,164,2026-09-05 12:19:54.432409,f
BOLA,165,2026-09-05 12:19:54.432409,f
BOLT,166,2026-09-05 12:19:54.432409,f
BOSS,167,2026-09-05 12:19:54.432409,f
BPFI,168,2026-09-05 12:19:54.432409,f
BPII,169,2026-09-05 12:19:54.432409,f
BPTR,170,2026-09-05 12:19:54.432409,f
BRAM,171,2026-09-05 12:19:54.432409,f
BREN,172,2026-09-05 12:19:54.432409,f
BRIS,173,2026-09-05 12:19:54.432409,f
BRNA,174,2026-09-05 12:19:54.432409,f
BRPT,175,2026-09-05 12:19:54.432409,f
BRRC,176,2026-09-05 12:19:54.432409,f
BSBK,177,2026-09-05 12:19:54.432409,f
BSDE,178,2026-09-05 12:19:54.432409,f
BSIM,179,2026-09-05 12:19:54.432409,f
BSML,180,2026-09-05 12:19:54.432409,f
BSSR,181,2026-09-05 12:19:54.432409,f
BSWD,182,2026-09-05 12:19:54.432409,f
BTEK,183,2026-09-05 12:19:54.432409,f
BTEL,184,2026-09-05 12:19:54.432409,f
BTON,185,2026-09-05 12:19:54.432409,f
BTPN,186,2026-09-05 12:19:54.432409,f
BTPS,187,2026-09-05 12:19:54.432409,f
BUAH,188,2026-09-05 12:19:54.432409,f
BUDI,189,2026-09-05 12:19:54.432409,f
BUKA,190,2026-09-05 12:19:54.432409,f
BUKK,191,2026-09-05 12:19:54.432409,f
BULL,192,2026-09-05 12:19:54.432409,f
BUMI,193,2026-09-05 12:19:54.432409,f
BUVA,194,2026-09-05 12:19:54.432409,f
BVIC,195,2026-09-05 12:19:54.432409,f
BWPT,196,2026-09-05 12:19:54.432409,f
BYAN,197,2026-09-05 12:19:54.432409,f
CAKK,198,2026-09-05 12:19:54.432409,f
CAMP,199,2026-09-05 12:19:54.432409,f
CANI,200,2026-09-05 12:19:54.432409,f
CARE,201,2026-09-05 12:19:54.432409,f
CARS,202,2026-09-05 12:19:54.432409,f
CASA,203,2026-09-05 12:19:54.432409,f
CASH,204,2026-09-05 12:19:54.432409,f
CASS,205,2026-09-05 12:19:54.432409,f
CBDK,206,2026-09-05 12:19:54.432409,f
CBMF,207,2026-09-05 12:19:54.432409,f
CBPE,208,2026-09-05 12:19:54.432409,f
CBRE,209,2026-09-05 12:19:54.432409,f
CBUT,210,2026-09-05 12:19:54.432409,f
CCSI,211,2026-09-05 12:19:54.432409,f
CDIA,212,2026-09-05 12:19:54.432409,f
CEKA,213,2026-09-05 12:19:54.432409,f
CENT,214,2026-09-05 12:19:54.432409,f
CFIN,215,2026-09-05 12:19:54.432409,f
CGAS,216,2026-09-05 12:19:54.432409,f
CHEK,217,2026-09-05 12:19:54.432409,f
CHEM,218,2026-09-05 12:19:54.432409,f
CHIP,219,2026-09-05 12:19:54.432409,f
CINT,220,2026-09-05 12:19:54.432409,f
CITA,221,2026-09-05 12:19:54.432409,f
CITY,222,2026-09-05 12:19:54.432409,f
CLAY,223,2026-09-05 12:19:54.432409,f
CLEO,224,2026-09-05 12:19:54.432409,f
CLPI,225,2026-09-05 12:19:54.432409,f
CMNP,226,2026-09-05 12:19:54.432409,f
CMNT,227,2026-09-05 12:19:54.432409,f
CMPP,228,2026-09-05 12:19:54.432409,f
CMRY,229,2026-09-05 12:19:54.432409,f
CNKO,230,2026-09-05 12:19:54.432409,f
CNMA,231,2026-09-05 12:19:54.432409,f
COAL,232,2026-09-05 12:19:54.432409,f
COCO,233,2026-09-05 12:19:54.432409,f
COIN,234,2026-09-05 12:19:54.432409,f
COWL,235,2026-09-05 12:19:54.432409,f
CPIN,236,2026-09-05 12:19:54.432409,f
CPRI,237,2026-09-05 12:19:54.432409,f
CPRO,238,2026-09-05 12:19:54.432409,f
CRAB,239,2026-09-05 12:19:54.432409,f
CRSN,240,2026-09-05 12:19:54.432409,f
CSAP,241,2026-09-05 12:19:54.432409,f
CSIS,242,2026-09-05 12:19:54.432409,f
CSMI,243,2026-09-05 12:19:54.432409,f
CSRA,244,2026-09-05 12:19:54.432409,f
CTBN,245,2026-09-05 12:19:54.432409,f
CTRA,246,2026-09-05 12:19:54.432409,f
CTTH,247,2026-09-05 12:19:54.432409,f
CUAN,248,2026-09-05 12:19:54.432409,f
CYBR,249,2026-09-05 12:19:54.432409,f
DAAZ,250,2026-09-05 12:19:54.432409,f
DADA,251,2026-09-05 12:19:54.432409,f
DART,252,2026-09-05 12:19:54.432409,f
DATA,253,2026-09-05 12:19:54.432409,f
DAYA,254,2026-09-05 12:19:54.432409,f
DCII,255,2026-09-05 12:19:54.432409,f
DEAL,256,2026-09-05 12:19:54.432409,f
DEFI,257,2026-09-05 12:19:54.432409,f
DEPO,258,2026-09-05 12:19:54.432409,f
DEWA,259,2026-09-05 12:19:54.432409,f
DEWI,260,2026-09-05 12:19:54.432409,f
DFAM,261,2026-09-05 12:19:54.432409,f
DGIK,262,2026-09-05 12:19:54.432409,f
DGNS,263,2026-09-05 12:19:54.432409,f
DGWG,264,2026-09-05 12:19:54.432409,f
DIGI,265,2026-09-05 12:19:54.432409,f
DILD,266,2026-09-05 12:19:54.432409,f
DIVA,267,2026-09-05 12:19:54.432409,f
DKFT,268,2026-09-05 12:19:54.432409,f
DKHH,269,2026-09-05 12:19:54.432409,f
DLTA,270,2026-09-05 12:19:54.432409,f
DMAS,271,2026-09-05 12:19:54.432409,f
DMMX,272,2026-09-05 12:19:54.432409,f
DMND,273,2026-09-05 12:19:54.432409,f
DNAR,274,2026-09-05 12:19:54.432409,f
DNET,275,2026-09-05 12:19:54.432409,f
DOID,276,2026-09-05 12:19:54.432409,f
DOOH,277,2026-09-05 12:19:54.432409,f
DOSS,278,2026-09-05 12:19:54.432409,f
DPNS,279,2026-09-05 12:19:54.432409,f
DPUM,280,2026-09-05 12:19:54.432409,f
DRMA,281,2026-09-05 12:19:54.432409,f
DSFI,282,2026-09-05 12:19:54.432409,f
DSNG,283,2026-09-05 12:19:54.432409,f
DSSA,284,2026-09-05 12:19:54.432409,f
DUCK,285,2026-09-05 12:19:54.432409,f
DUTI,286,2026-09-05 12:19:54.432409,f
DVLA,287,2026-09-05 12:19:54.432409,f
DWGL,288,2026-09-05 12:19:54.432409,f
DYAN,289,2026-09-05 12:19:54.432409,f
EAST,290,2026-09-05 12:19:54.432409,f
ECII,291,2026-09-05 12:19:54.432409,f
EDGE,292,2026-09-05 12:19:54.432409,f
EKAD,293,2026-09-05 12:19:54.432409,f
ELIT,294,2026-09-05 12:19:54.432409,f
ELPI,295,2026-09-05 12:19:54.432409,f
ELSA,296,2026-09-05 12:19:54.432409,f
ELTY,297,2026-09-05 12:19:54.432409,f
EMDE,298,2026-09-05 12:19:54.432409,f
EMMI,299,2026-09-05 12:19:54.432409,f
EMTK,300,2026-09-05 12:19:54.432409,f
ENAK,301,2026-09-05 12:19:54.432409,f
ENRG,302,2026-09-05 12:19:54.432409,f
ENVY,303,2026-09-05 12:19:54.432409,f
ENZO,304,2026-09-05 12:19:54.432409,f
EPAC,305,2026-09-05 12:19:54.432409,f
EPMT,306,2026-09-05 12:19:54.432409,f
ERAA,307,2026-09-05 12:19:54.432409,f
ERAL,308,2026-09-05 12:19:54.432409,f
ERTX,309,2026-09-05 12:19:54.432409,f
ESIP,310,2026-09-05 12:19:54.432409,f
ESSA,311,2026-09-05 12:19:54.432409,f
ESTA,312,2026-09-05 12:19:54.432409,f
ESTI,313,2026-09-05 12:19:54.432409,f
ETWA,314,2026-09-05 12:19:54.432409,f
EURO,315,2026-09-05 12:19:54.432409,f
EXCL,316,2026-09-05 12:19:54.432409,f
FAPA,317,2026-09-05 12:19:54.432409,f
FAST,318,2026-09-05 12:19:54.432409,f
FASW,319,2026-09-05 12:19:54.432409,f
FILM,320,2026-09-05 12:19:54.432409,f
FIMP,321,2026-09-05 12:19:54.432409,f
FIRE,322,2026-09-05 12:19:54.432409,f
FISH,323,2026-09-05 12:19:54.432409,f
FITT,324,2026-09-05 12:19:54.432409,f
FLMC,325,2026-09-05 12:19:54.432409,f
FMII,326,2026-09-05 12:19:54.432409,f
FOLK,327,2026-09-05 12:19:54.432409,f
FOOD,328,2026-09-05 12:19:54.432409,f
FORE,329,2026-09-05 12:19:54.432409,f
FORU,330,2026-09-05 12:19:54.432409,f
FPNI,331,2026-09-05 12:19:54.432409,f
FUJI,332,2026-09-05 12:19:54.432409,f
FUTR,333,2026-09-05 12:19:54.432409,f
FWCT,334,2026-09-05 12:19:54.432409,f
GAMA,335,2026-09-05 12:19:54.432409,f
GDST,336,2026-09-05 12:19:54.432409,f
GDYR,337,2026-09-05 12:19:54.432409,f
GEMA,338,2026-09-05 12:19:54.432409,f
GEMS,339,2026-09-05 12:19:54.432409,f
GGRM,340,2026-09-05 12:19:54.432409,f
GGRP,341,2026-09-05 12:19:54.432409,f
GHON,342,2026-09-05 12:19:54.432409,f
GIAA,343,2026-09-05 12:19:54.432409,f
GJTL,344,2026-09-05 12:19:54.432409,f
GLOB,345,2026-09-05 12:19:54.432409,f
GLVA,346,2026-09-05 12:19:54.432409,f
GMFI,347,2026-09-05 12:19:54.432409,f
GMTD,348,2026-09-05 12:19:54.432409,f
GOLD,349,2026-09-05 12:19:54.432409,f
GOLF,350,2026-09-05 12:19:54.432409,f
GOLL,351,2026-09-05 12:19:54.432409,f
GOOD,352,2026-09-05 12:19:54.432409,f
GOTO,353,2026-09-05 12:19:54.432409,f
GPRA,354,2026-09-05 12:19:54.432409,f
GPSO,355,2026-09-05 12:19:54.432409,f
GRIA,356,2026-09-05 12:19:54.432409,f
GRPH,357,2026-09-05 12:19:54.432409,f
GRPM,358,2026-09-05 12:19:54.432409,f
GSMF,359,2026-09-05 12:19:54.432409,f
GTBO,360,2026-09-05 12:19:54.432409,f
GTRA,361,2026-09-05 12:19:54.432409,f
GTSI,362,2026-09-05 12:19:54.432409,f
GULA,363,2026-09-05 12:19:54.432409,f
GUNA,364,2026-09-05 12:19:54.432409,f
GWSA,365,2026-09-05 12:19:54.432409,f
GZCO,366,2026-09-05 12:19:54.432409,f
HADE,367,2026-09-05 12:19:54.432409,f
HAIS,368,2026-09-05 12:19:54.432409,f
HAJJ,369,2026-09-05 12:19:54.432409,f
HALO,370,2026-09-05 12:19:54.432409,f
HATM,371,2026-09-05 12:19:54.432409,f
HBAT,372,2026-09-05 12:19:54.432409,f
HDFA,373,2026-09-05 12:19:54.432409,f
HDIT,374,2026-09-05 12:19:54.432409,f
HEAL,375,2026-09-05 12:19:54.432409,f
HELI,376,2026-09-05 12:19:54.432409,f
HERO,377,2026-09-05 12:19:54.432409,f
HEXA,378,2026-09-05 12:19:54.432409,f
HGII,379,2026-09-05 12:19:54.432409,f
HILL,380,2026-09-05 12:19:54.432409,f
HITS,381,2026-09-05 12:19:54.432409,f
HKMU,382,2026-09-05 12:19:54.432409,f
HMSP,383,2026-09-05 12:19:54.432409,f
HOKI,384,2026-09-05 12:19:54.432409,f
HOME,385,2026-09-05 12:19:54.432409,f
HOMI,386,2026-09-05 12:19:54.432409,f
HOPE,387,2026-09-05 12:19:54.432409,f
HOTL,388,2026-09-05 12:19:54.432409,f
HRME,389,2026-09-05 12:19:54.432409,f
HRUM,390,2026-09-05 12:19:54.432409,f
HUMI,391,2026-09-05 12:19:54.432409,f
HYGN,392,2026-09-05 12:19:54.432409,f
IATA,393,2026-09-05 12:19:54.432409,f
IBFN,394,2026-09-05 12:19:54.432409,f
IBOS,395,2026-09-05 12:19:54.432409,f
IBST,396,2026-09-05 12:19:54.432409,f
ICBP,397,2026-09-05 12:19:54.432409,f
ICON,398,2026-09-05 12:19:54.432409,f
IDEA,399,2026-09-05 12:19:54.432409,f
IDPR,400,2026-09-05 12:19:54.432409,f
IFII,401,2026-09-05 12:19:54.432409,f
IFSH,402,2026-09-05 12:19:54.432409,f
IGAR,403,2026-09-05 12:19:54.432409,f
IIKP,404,2026-09-05 12:19:54.432409,f
IKAI,405,2026-09-05 12:19:54.432409,f
IKAN,406,2026-09-05 12:19:54.432409,f
IKBI,407,2026-09-05 12:19:54.432409,f
IKPM,408,2026-09-05 12:19:54.432409,f
IMAS,409,2026-09-05 12:19:54.432409,f
IMJS,410,2026-09-05 12:19:54.432409,f
IMPC,411,2026-09-05 12:19:54.432409,f
INAF,412,2026-09-05 12:19:54.432409,f
INAI,413,2026-09-05 12:19:54.432409,f
INCF,414,2026-09-05 12:19:54.432409,f
INCI,415,2026-09-05 12:19:54.432409,f
INCO,416,2026-09-05 12:19:54.432409,f
INDF,417,2026-09-05 12:19:54.432409,f
INDO,418,2026-09-05 12:19:54.432409,f
INDR,419,2026-09-05 12:19:54.432409,f
INDS,420,2026-09-05 12:19:54.432409,f
INDX,421,2026-09-05 12:19:54.432409,f
INDY,422,2026-09-05 12:19:54.432409,f
INET,423,2026-09-05 12:19:54.432409,f
INKP,424,2026-09-05 12:19:54.432409,f
INOV,425,2026-09-05 12:19:54.432409,f
INPC,426,2026-09-05 12:19:54.432409,f
INPP,427,2026-09-05 12:19:54.432409,f
INPS,428,2026-09-05 12:19:54.432409,f
INRU,429,2026-09-05 12:19:54.432409,f
INTA,430,2026-09-05 12:19:54.432409,f
INTD,431,2026-09-05 12:19:54.432409,f
INTP,432,2026-09-05 12:19:54.432409,f
IOTF,433,2026-09-05 12:19:54.432409,f
IPAC,434,2026-09-05 12:19:54.432409,f
IPCC,435,2026-09-05 12:19:54.432409,f
IPCM,436,2026-09-05 12:19:54.432409,f
IPOL,437,2026-09-05 12:19:54.432409,f
IPPE,438,2026-09-05 12:19:54.432409,f
IPTV,439,2026-09-05 12:19:54.432409,f
IRRA,440,2026-09-05 12:19:54.432409,f
IRSX,441,2026-09-05 12:19:54.432409,f
ISAP,442,2026-09-05 12:19:54.432409,f
ISAT,443,2026-09-05 12:19:54.432409,f
ISEA,444,2026-09-05 12:19:54.432409,f
ISSP,445,2026-09-05 12:19:54.432409,f
ITIC,446,2026-09-05 12:19:54.432409,f
ITMA,447,2026-09-05 12:19:54.432409,f
ITMG,448,2026-09-05 12:19:54.432409,f
JARR,449,2026-09-05 12:19:54.432409,f
JAST,450,2026-09-05 12:19:54.432409,f
JATI,451,2026-09-05 12:19:54.432409,f
JAWA,452,2026-09-05 12:19:54.432409,f
JAYA,453,2026-09-05 12:19:54.432409,f
JECC,454,2026-09-05 12:19:54.432409,f
JECX,455,2026-09-05 12:19:54.432409,f
JELI,456,2026-09-05 12:19:54.432409,f
JGLE,457,2026-09-05 12:19:54.432409,f
JIHD,458,2026-09-05 12:19:54.432409,f
JKON,459,2026-09-05 12:19:54.432409,f
JMAS,460,2026-09-05 12:19:54.432409,f
JPFA,461,2026-09-05 12:19:54.432409,f
JRPT,462,2026-09-05 12:19:54.432409,f
JSKY,463,2026-09-05 12:19:54.432409,f
JSMR,464,2026-09-05 12:19:54.432409,f
JSPT,465,2026-09-05 12:19:54.432409,f
JTPE,466,2026-09-05 12:19:54.432409,f
KAEF,467,2026-09-05 12:19:54.432409,f
KAQI,468,2026-09-05 12:19:54.432409,f
KARW,469,2026-09-05 12:19:54.432409,f
KAYU,470,2026-09-05 12:19:54.432409,f
KBAG,471,2026-09-05 12:19:54.432409,f
KBLI,472,2026-09-05 12:19:54.432409,f
KBLM,473,2026-09-05 12:19:54.432409,f
KBLV,474,2026-09-05 12:19:54.432409,f
KBRI,475,2026-09-05 12:19:54.432409,f
KDSI,476,2026-09-05 12:19:54.432409,f
KDTN,477,2026-09-05 12:19:54.432409,f
KEEN,478,2026-09-05 12:19:54.432409,f
KEJU,479,2026-09-05 12:19:54.432409,f
KETR,480,2026-09-05 12:19:54.432409,f
KIAS,481,2026-09-05 12:19:54.432409,f
KICI,482,2026-09-05 12:19:54.432409,f
KIJA,483,2026-09-05 12:19:54.432409,f
